名称,品质,商城价格,商城价格2,具体描述,物品类型
随身物品 小提琴,独特,258回声,968碎片,右手虽有些不便，小提琴也在某次事故中有些许损坏，但不影响巴尔克享受音乐，熟能生巧确实很有道理。,独特品质随身物品
随身物品 遥控器,奇珍,1068回声,,电视机遥控器,奇珍品质随身物品
随身物品 约束,奇珍,788回声,2988碎片,都是为了你好。,奇珍品质随身物品
随身物品 长生,,1068回声,3888碎片,希望是种子，只有将其埋葬才能获得生机,奇珍随身物品
随身物品 昨日之笼,奇珍,1068回声,3888碎片,她时常还能听到那来自远方的啼鸣，一声又一声，呼唤她踏上归途。,奇珍品质随身物品
碎陶,独特,258回声,968碎片,残缺的陶片拼凑出另一个世界的影子，却也将真相永远封锁。,独特品质随身物品
碎星秋千,,2150回声,,在银河的照耀之下，与你一起荡起秋千（2025年“群星之下的启迪”活动系列家具）,稀世家具
随形砚,独特,258回声,968碎片,兴来洒素壁，挥毫如流星。,独特品质随身物品
唢呐纸人,,950回声,,,奇珍家具
塔楼之窗,,230回声,1088线索,仿若置身于古老的塔楼之中，回顾历史的光景。,家具
踏莎行,奇珍,1108回声,,金雨倾时，星火未息，盏盏燎原驱沮泞。,奇珍品质时装
台灯柜台,,230回声,,,家具
太极镜,独特,258回声,968碎片,事物的两面性总是容易被人忽略，或是被人夸大。,独特品质随身物品
太阳石,独特,258回声,968碎片,献花，落果，扫路，而众神至。,独特品质随身物品
太宰的爱书,稀世,1888回声,,太宰治的爱书。,稀世品质随身物品
太宰治,,2888回声,,武装侦探社成员-太宰治的服装。,稀世时装
糖果鬼,,1068回声,3888碎片,她想要很多糖果，现在如愿以偿了。,奇珍随身物品
陶瓷马桶,,950回声,,,家具
淘金客,奇珍,1388回声,4888碎片,这世上确实有比黄金更宝贵的东西，但它们往往也比黄金更难找到。,奇珍品质时装
桃乐丝,奇珍,1388回声,4888碎片,世上没有一个地方可以和家相提并论。,奇珍品质时装
陶梦嫣,,1178回声,,陶梦嫣前往浮路城南大剧院看戏的装扮。,奇珍时装
逃罪之人,稀世,2888回声,12888碎片,战争落败后，他意外闯入了这片乐土。然而从威涅达的美梦中惊醒后……他被她引燃了最后一颗火星，扣紧了最牢固的枷锁。,稀世品质时装
提炼师,奇珍,1388回声,,家族的禁锢就像透明玻璃罐上的标签，寥寥数语定性了她的香气和性质。于是她选择出逃……也许在迷雾之森中有更适合她的独特香气。,奇珍品质时装
天仓澪,,1388回声,,天仓澪的时装,奇珍时装
填海平,奇珍,1108回声,,迎骤雨，誓不归；衔微木，填沧海。,奇珍品质时装
天河,稀世,2888回声,12888碎片,我引导过迷失长夜的萤虫，也阻挡过扑向光焰的飞蛾，但最终，他们还是会走向属于他们自己的道路。,稀世品质时装
天空之外,,1068回声,3888碎片,终有一天，天空之外的世界，不会再只是凸透镜上的幻梦。,奇珍随身物品
天狼星,奇珍,1108回声,,以狼之名，许我荣光。,奇珍品质时装
天禄,奇珍,1388回声,,,奇珍品质时装
天气预报,独特,258回声,968碎片,今日天气：大雪明日天气：大雪下周天气：大雪。,独特品质随身物品
天使向导,,1388回声,,当他与阿斯莫断开连接，迷失的他沦为亡灵的猎物，他伺机待发直至新的主人出现。,奇珍时装
甜筒,奇珍,788回声,2988碎片,美味的甜筒甚至酝出了有形的香气。,奇珍品质随身物品
铁饼,独特,258回声,968碎片,这曾是他的最爱，直到他发现了更适合投掷的东西。,独特品质随身物品
铁轨信号灯,奇珍,788回声,2988碎片,他和他的伙伴都不怎么习惯在这条新路上奔跑。,奇珍品质随身物品
铁皮人,,318回声,,残破的铁皮人为了获得真挚的感情，选择用欺骗和伤害不断试探。,独特时装
听诊器,独特,258回声,968碎片,为了让孩子们对体检不那么害怕，医生带上了她可爱的听诊器,独特品质随身物品
Tiny Jack,,488回声,,Jack的礼物,独特随从
童话国,,2888回声,12888碎片,时间尘封了记忆中的王国，却无法掩埋深藏于内心的希望。,稀世时装
恸哭,,838回声,,漫漫归家路，是谁在恸哭<br>请与我们一同关注失踪儿童问题,奇珍时装
兔宝宝,独特,258回声,968碎片,可爱的兔宝宝玩偶给盲女带来安全感，她们互相保护着对方,独特品质随身物品
兔宝宝玩偶,独特,258回声,968碎片,每一个魔术师的基本功，就是从帽子里抓出一只兔子,独特品质随身物品
吐宝鼠,奇珍,1388回声,,,奇珍品质时装
兔脚,,60回声,,他让所有人相信，那些恰到好处的意外与过于巧合的结局确实只是兔子带来的一点点幸运。,商城限时时装
兔美的魔法棒,稀世,888回声,3188碎片,看着像玩具，却是货真价实的魔法棒。,稀世品质随身物品
陀螺,独特,258回声,968碎片,一起转起来！,独特品质随身物品
陀螺仪,独特,258回声,968碎片,拙劣的仿品，外行的制作。,独特品质随身物品
WAVE先生,,788回声,,Gotta ride this big wave!! 2024IJL秋季赛冠军AXIZ WAVE战队随从。,奇珍随从
蛙里奥,,1178回声,,蛙里奥的礼物。,奇珍时装
外卡尺,独特,258回声,968碎片,精密的测量，才能带来精密的结果！,独特品质随身物品
万花筒,奇珍,788回声,2988碎片,穆罗回归文明社会后收到的礼物之一，变换的花纹让他联想到自然之美，即使摔坏了，他也一直保留着。,奇珍品质随身物品
玩具商 收礼物,,98回声,,收礼物动作，玩具商专属,独特个性动作
完美人偶,,1888回声,8388碎片,成为“她”，还是毁了她。,稀世随身物品
玩偶屋,独特,60回声,,缤纷的玩具总能使她忘记游戏之外的现实，这份快乐太过轻盈，容不下任何沉重的记忆。,独特品质时装
玩偶仙人掌,独特,258回声,968碎片,牛仔随身携带的玩偶，是往日时光的纪念,独特品质随身物品
枉费之爱,奇珍,788回声,2988碎片,爱似骄阳，仰望时，它无私、温暖又灿烂，拥抱时，却只留给你苦痛的灼伤。,奇珍品质随身物品
往昔,,1388回声,4888碎片,往者不可谏,奇珍时装
喂虫钳,独特,258回声,968碎片,喂它们的时候最好离远一点。,独特品质随身物品
危机的刻度,独特,258回声,968碎片,让我来丈量一下，你与死亡的距离。,独特品质随身物品
未送出的花,稀世,1888回声,8388碎片,每一个机器人都有一个成为人的愿望，而这未送出的花是邦邦破灭的梦想。,稀世品质随身物品
维特,奇珍,1388回声,4888碎片,能使人幸福的东西，同时又可以变成他痛苦的根源，难道就非得如此吗？,奇珍品质时装
微型护卫,奇珍,788回声,2988碎片,小巧、精美、且足够致命。人们往往只看到前两处优点，而她从未忽略这件“饰品”最大的魅力。,奇珍品质随身物品
闻雷爪,稀世,2888回声,12888碎片,鸿爪游踪寻千度，昂首时揖献昌福。,稀世品质时装
Wolves·2021秋,,888回声,,以狼之名，许我荣光！2021IVL秋季赛冠军Wolves战队随从。,奇珍随从
Wolves·2021夏,,888回声,,以狼之名，许我荣光！2021IVL夏季赛冠军Wolves战队随从。,奇珍随从
巫毒匕首,奇珍,788回声,2988碎片,本身已经足够致命，浸毒只是习惯使然。,奇珍品质随身物品
乌骨,稀世,2888回声,12888碎片,每逡巡，堆砌乌合骨。,稀世品质时装
舞会彩球,奇珍,788回声,2988碎片,多亏了这个宝贝彩球，才能撑起孤儿院里那寒酸的舞会。,奇珍品质随身物品
无尽森林,稀世,1888回声,8388碎片,他一直奔跑，却始终无法逃离这片森林。,稀世品质随身物品
乌撒来客,稀世,2888回声,12888碎片,那个月夜后，乌撒下达了一条保护猫的法令。,稀世品质时装
舞狮,,2888回声,12888碎片,他偶然收获了这份来自东方大国的礼物。佳节欢庆之际，它为孤儿院里带来了久违的欢声笑语。,稀世时装
无限,,1888回声,,每一段微小经历的叠加，都是对未来无限可能的算法进化。,稀世随身物品
五周年蛋糕,,950回声,4188线索,蛋糕是用来吃的(2023年周年庆活动期间家具),家具
五周年礼花,,950回声,4188线索,一起来庆祝吧！(2023年周年庆活动期间家具),家具
西尔菲德,,2888回声,12888碎片,林间的轻风、湖面的水波、还有呢喃在花朵间的爱的誓言——请你用它们编织成轻纱，覆在我即将消殒的双翼上。,稀世时装
洗手池（221B）,,230回声,,,家具
西洋镜,奇珍,788回声,2988碎片,依旧完好，但已经无人愿意再使用它了。,奇珍品质随身物品
夏,稀世,1888回声,8388碎片,湖底没有季节。,稀世品质随身物品
匣中风云,奇珍,788回声,2988碎片,晴天雨天，有演出就是好天。,奇珍品质随身物品
仙鹤,,1388回声,4888碎片,低头乍恐丹砂落，晒翅常疑白雪消。,奇珍时装
弦音畸变,奇珍,1388回声,4888碎片,奏响真实与虚幻的和弦。,奇珍品质时装
先知猫头鹰,,888回声,3188碎片,在童话故事里，猫头鹰总是先知和智者的象征。,奇珍随从
乡村牧师,奇珍,1388回声,4888碎片,没有什么关系，一切都是慈悲的。,奇珍品质时装
香氛,,318回声,,闭上眼，闻到了么?爱的缱绻、恨的绵长、欲望的热烈、死亡的芬芳。,独特时装
橡树树枝,独特,258回声,968碎片,自然脱落的树枝，它往往被视为一种自然的馈赠。,独特品质随身物品
肖驰,,1178回声,,肖驰回到奘铃村时的装扮。,奇珍时装
小丑盒,独特,258回声,968碎片,不知道是哪个淘气鬼制作的小丑盒，轻微的扰动就能让小丑玩偶摇动不停,独特品质随身物品
小丑皇,稀世,2888回声,12888碎片,只凭精彩的笑话就能掌控全场？登上顶峰真正靠的是实力！,稀世品质时装
消防员,独特,288回声,1088碎片,从来没见过那么横冲直撞……哦，抱歉……来去如风的消防员,独特品质时装
小号,独特,258回声,968碎片,我不太喜欢在闲暇时客串小号手。,独特品质随身物品
小红帽,稀世,2888回声,12888碎片,这是一个危险的世界，戴着红色帽子的女孩应该多加小心,稀世品质时装
小花,,488回声,1488碎片,小花是一朵漂亮的小花，至少它自己是这样想的。,独特随从
小火炉,独特,258回声,968碎片,勘探员在某次勘探作业中找到的古代遗物，散发着一股奇怪的气息,独特品质随身物品
小机灵,,318回声,,如果时间可以像齿轮一样逆转，那么离开的人，是不是就能再回来?,独特时装
小六,,1388回声,,小六的时装。,奇珍时装
小明星,奇珍,1388回声,4888碎片,比起精致的甜点、闪亮的礼服、健康的菠菜，我更想要一句不会迟到的“晚安”。,奇珍品质时装
小提琴家 回响,,288回声,,回响动作,个性动作
小提琴家 月光,,1068回声,3888碎片,高悬的皎月可曾记得，那些关于忠诚的誓约和抉择。,随身物品
枭徒,稀世,2888回声,12888碎片,竞求索，不餍枭狼相。,稀世品质时装
小型鱼缸,,230回声,,,家具
小型展示柜,,230回声,,,家具
小型置物架,,230回声,,,家具
小玉,奇珍,1388回声,,“我是玉兔，大家都叫我小玉啦！”,奇珍品质时装
邪火宝箱,稀世,1888回声,8388碎片,喷火的宝箱？让我看看里面有什么好东西！,稀世品质随身物品
邪火令,,3888碎片,1068回声,来自太古时代的法器，早已被时间遗忘，当它重新出现之日，即是灾难降临之时!,奇珍随身物品
谢勒绿,奇珍,788回声,2988碎片,我知道它有毒，但它确实能带来更好的绿色。,奇珍品质随身物品
协律,奇珍,1068回声,3888碎片,醒来吧，我的“奥菲欧”。,奇珍品质随身物品
邪念,,318回声,1188碎片,潘多拉的魔盒被打开后所释放的邪念，是对世间极度失望后的冷漠与暴力。,独特时装
斜躺沙发,,230回声,,,家具
新春祈愿架,,230回声,,春节快乐！在这里留下自己的愿望吧！（2024年春节家具）,独特家具
心海之梦,奇珍,788回声,2988碎片,若我们共享一片意识的深海，那是否能在梦中与你重逢？,奇珍品质随身物品
信号哨,独特,258回声,968碎片,嘹亮的声音提醒着每一个听到的人，他们究竟身负怎样的责任。,独特品质随身物品
辛美尔,,2888回声,,辛美尔的时装。,稀世时装
心形泡泡圈,奇珍,788回声,2988碎片,海伦娜的心爱之物，虽然不能眼见五彩斑斓的泡泡，但四周的香气和泡泡破裂的轻响，也给她带来了快乐。,奇珍品质随身物品
幸福之地,,1068回声,3888碎片,黄昏的树边有一个吹笛之人，她会引领我们前行，然后又是全新的一天。,奇珍随身物品
星光吊灯,,2150回声,,挂在家里的繁星，今天也在向你微笑（2025年“群星之下的启迪”活动系列家具）,稀世家具
星见,,1068回声,3888碎片,命运是你早已预知却无法避免的未来,随身物品
星空球,,1068回声,3888碎片,水晶球上残留着的那丝温度，驱散了漫漫长夜的孤寂和冰冷。,奇珍随身物品
星空预言者,独特,288回声,1088碎片,浩瀚的星空与无边的未来噢~瓦尔莱塔以卑微的残躯向你们祈祷，能否回应我渺小的期盼?,独特品质时装
星空枕头,独特,258回声,968碎片,放下枕头，轻轻敲一敲，酣然入睡，梦境里会出现那璀璨的星空。,独特品质随身物品
星空之翼,,2888回声,12888碎片,大地是生命的根系，天空是灵魂的归属。,稀世时装
醒梦铃,奇珍,788回声,2988碎片,每一声铃响都在提醒，那虚幻的美好注定难以长存。,奇珍品质随身物品
星盘,独特,158回声,968碎片,诸位的命运，群星早有预兆，通过星盘的演算，都由我来定夺。,独特品质随身物品
星石,独特,158回声,968碎片,卡尔曾经听说星石是逝去的星星化成的，虽然很难相信是真的，但他仍然格外喜欢这种寓意。,独特品质随身物品
星图,奇珍,788回声,2988碎片,“我真不应该去帮他偷取这份星图，超越掌控的知识绝对无法带来创造与新生，却往往伴随着毁灭与死亡。”,奇珍品质随身物品
星相师,稀世,2888回声,12888碎片,他的命运在浩瀚的星图里缓缓展开，最终陨落成一抹火色的残光。,稀世品质时装
星象仪,奇珍,788回声,2988碎片,那些深埋地下的宝石，就像未曾闪耀的亿万星辰。,奇珍品质随身物品
星星糖,奇珍,788回声,2988碎片,一起来享受这甜美的爆炸吧！,奇珍品质随身物品
星钥,奇珍,788回声,2988碎片,钥匙解除了桎梏，带来樊笼之外的崭新世界。,奇珍品质随身物品
星夜翱翔,,3888碎片,1068回声,那划破黑暗的光翼或许稚嫩，或许脆弱。但翱翔星夜的雏鹰，从不怯懦。,奇珍随身物品
幸运儿 月亮脸,独特,288回声,1088碎片,在衣服上多印一个标记就能带来好运?,独特品质时装
幸运转盘,独特,258回声,968碎片,相信运气也是一种实力的人－－说真的，他的实力也太宽泛了,独特品质随身物品
熊猫保育员,,838回声,,和我一起关注来自森林的朋友们。,奇珍时装
熊猫摇篮,,950回声,,"轻轻摇晃,小心呵护,这是熊猫宝宝们的摇篮。(熊猫系列家具)",家具
序幕,,1188碎片,318回声,在罪恶的玫瑰尚未布满阿瓦隆的土地时，他是幕后的静观者，尚未决定自身的“位置”。,独特时装
叙事卡片,,258回声,968碎片,万千可能性在指尖坍缩成唯一。,独特随身物品
许愿瓶,奇珍,788回声,2988碎片,有一天，他终于发现，所有的愿望都是梦境中的气泡，会在太阳升起那一刻，支离破碎。,奇珍品质随身物品
雪地地毯,,950回声,4188线索,走过洁白的雪地地毯，鞋子会沾上圣诞的雪花吗？（2023年圣诞节家具）,家具
雪景长窗,,950回声,,,奇珍家具
雪莲,稀世,1888回声,8388碎片,传说是雪国圣地才能生长的花，被作为礼物送给舞女后，虽离开雪国，竟也还奇迹般的绽放着。,稀世品质随身物品
雪橇装饰,,230回声,,,独特家具
雪人摆件,,230回声,1088线索,永远不会融化的雪人，孩子们的好朋友(2022圣诞节家具),家具
雪人壁灯,,230回声,,,独特家具
雪绒花,独特,258回声,968碎片,谁来为红蝶戴上这一片雪国的饰品,独特品质随身物品
雪上小王子,,1388回声,,冬至南迁需途经一个小男孩的滑雪场，他总用奇怪的方式试图将人们留下。但即便是在人群里，他也是寂寞的。,奇珍时装
血压计,独特,258回声,968碎片,生命的存续难道只是仪器上显示的数据吗？,独特品质随身物品
雪夜织愿,奇珍,1388回声,4888碎片,纤细晶莹的蛛丝，编织出了今年冬夜最温暖的祝愿。,奇珍品质时装
雪镇小景,,230回声,1088线索,雪景下的小镇一角（2023年圣诞节家具）,家具
寻宝贵族,,2888回声,12888碎片,沙漠，墓穴，法老，这真是激动人心的冒险，能发现些值钱的东西就更好了,稀世时装
训导,,288回声,1088碎片,制定规则，施行惩罚，行动有时是最佳的沟通方式。,独特时装
迅捷如风,奇珍,788回声,2988碎片,萨克斯风的吹奏诀窍在于呼吸，调整好自己的呼吸，从容上场吧。,奇珍品质随身物品
驯鹿树景,,230回声,1088线索,圣诞前夜，忙碌的老人与他的伙伴（2023年圣诞节家具）,家具
寻星者,奇珍,1388回声,4888碎片,风雪模糊了天空与大地间的界限，但星光永远高悬，为迷途的旅人指出前行的路。,奇珍品质时装
亚兹拉尔,,2888回声,12888碎片,他从天而降，带来这个季节的第一片落叶,时装
厌离,稀世,1888回声,8388碎片,未若今别不相逢，诳言春雨濡袖湿,稀世品质随身物品
赝品圣杯,独特,258回声,968碎片,在寻找圣杯的旅途中，队伍发现了许多仿制品，圣杯侍女对其中一个珍爱有加,独特品质随身物品
眼球草,独特,288回声,1088碎片,形状像眼球的奇怪植物．据说上面附着武士的怨灵,独特品质随身物品
鼹鼠先生,,1388回声,,这种生物拥有绝佳的嗅觉，能闻到很多东西，比如黄金与珠宝,奇珍时装
瑶彩,稀世,2888回声,12888碎片,渌水潺潺淘釉彩，微风习习拂瑶钗。,稀世品质时装
摇酒壶,独特,258回声,968碎片,在轻盈的摆动间，我们调制出遗忘的甘露。,独特品质随身物品
摇头鬼,,1068回声,3888碎片,他对什么都说不，即使到现在也在摇头。,奇珍随身物品
夜潮,,2888回声,12888碎片,常听潮的老者说，岁末归潮时，游子当归巢。,稀世时装
夜间漫游,独特,318回声,1188碎片,“……一只猫，两只……猫，三……只猫，呼呼……”,独特品质时装
夜来香,,2888回声,12888碎片,他所选择的花名叫夜来香，如它的花语，最后一缕阳光从贝尔斯泰因的土地上溜走之时，正是夜来香开花之际。,稀世时装
椰香假日,,2888回声,12888碎片,椰汁，花香，海浪……尽享海岛上的美妙夏日。,稀世时装
夜星,,1068回声,3888碎片,离开你，刹那已成永恒。,奇珍随身物品
夜莺小姐,,288回声,888碎片,夜莺小姐…是存在于幻象大厅的你吗？,独特随从
夜之商籁,稀世,2888回声,12888碎片,清醒的灵魂，亲历何种混沌<br>我的生命生出苍白的相<br>呼吸成为一种浪费<br>连影子在深夜都变得颓废<br>我的此在，唯有梦才能激起<br>所有梦境都充满危险<br>只有你，是我清醒时的惊喜,稀世品质时装
伊布,,1178回声,,在美术展迷失的少女。（2025年Ib联动限定获得）,奇珍时装
一步之遥,,1068回声,3888碎片,物理的距离对这把法杖毫无意义，无论多么远，对于持有者来说都只是一步之遥。,奇珍随身物品
医生 采药,,98回声,,采药动作，医生专属,个性动作
医生 花束,,98回声,,花束动作，医生专属,独特个性动作
医生 记录,,158回声,,医生匹配大厅动作，记录,独特等待动作
艺术家雪人,,230回声,1088线索,模仿画家的雪人，看看有什么不同之处？（2023年圣诞节家具）,家具
易碎的回忆,独特,258回声,968碎片,回忆逐渐变形，从而想不起原先的样子。,独特品质随身物品
遗蜕,独特,258回声,968碎片,这是那些小小生灵留在世界上的最后模样。,独特品质随身物品
遗忘之人,独特,318回声,1188碎片,你在寻觅什么，过去还是未来？,独特品质时装
遗物断剑,独特,258回声,968碎片,随着冒险的深入，队伍发现了许多宝物，宝剑侍从收集到的就是这柄遗失已久的圣剑，可惜已经被折断了,独特品质随身物品
异想Hello Kitty,奇珍,1388回声,,第五人格 × 三丽鸥大明星 联动时装,奇珍品质时装
义肢,,318回声,1188碎片,他逗人发笑时越发感受到自己无法忍受的孤独。,独特时装
一支鸢尾（白）,,230回声,1088线索,白色鸢尾，瓶中绽放（2023“荒野拾梦”活动家具）,独特家具
一支鸢尾（黑）,,230回声,1088线索,于黑夜中努力向阳（2023“荒野拾梦”活动家具）,独特家具
一支鸢尾（紫）,,230回声,1088线索,默默绽放着的鸢尾插花，是美好的愿望，也是无处吐露的心声（2023“荒野拾梦”活动家具）,独特家具
音核裂响,奇珍,1388回声,4888碎片,挫败时的那些轻声鼓舞，终有一天将汇成胜利时的震耳音浪。,奇珍品质时装
印记鳞片,独特,258回声,968碎片,从上古地层中发掘出的巨型鳞片，其上印记刻下之时，人类本该还未发明语言。,独特品质随身物品
引路人,,2888回声,12888碎片,向门之主祈祷吧，也许他会降下使者为你开辟一条生的道路,稀世时装
隐形人,奇珍,1388回声,4888碎片,无形的阴影里，你是否感受到他隐秘的呼吸？那是近在咫尺却触不可及的空白。,奇珍品质时装
银质刀叉,,258回声,968碎片,"与母亲共同进餐的时光,再也回不去了。",独特随身物品
银质梳子,独特,258回声,968碎片,被细心保存的银质梳子，找不到一丝一毫的瑕疵,独特品质随身物品
应许之日,,1388回声,,“你会获得你想要的，十字架为此作证。”,奇珍时装
鹰羽,奇珍,788回声,2988碎片,闪转腾挪的律动如这支羽毛一样轻盈!,奇珍品质随身物品
萤之羽,,1888回声,8388碎片,翅膀微动，泛起心上一丝涟漪。,稀世随身物品
佣兵 祝福,,98回声,,祝福动作，佣兵专属，最佳演绎动作,个性动作
佣兵小熊猫,,888回声,3188碎片,喜欢竹笋和水果的捕猎能手，看上去像一位熟悉的朋友。,奇珍随从
涌动,,1888回声,,不甘平凡是挑战者宝贵的天赋，勇往直前也是。,稀世随身物品
永恒之沙,奇珍,788回声,2988碎片,沙滩上的城堡可以永恒吗？,奇珍品质随身物品
勇者之剑,,1888回声,,辛美尔的勇者之剑。,稀世随身物品
邮差 回响,,288回声,,回响动作,个性动作
诱虫剂,独特,258回声,968碎片,能释放越多费洛蒙的蜂后，就能让越多的子嗣听从自己的指挥。,独特品质随身物品
幽灵船舵,,950回声,4188线索,船舵转动，呼唤来自深海的传说（2024年“俄刻阿诺斯的航迹”活动期间家具）,家具
幽灵帆,稀世,2888回声,12888碎片,海是旧日的残梦，那些故人与理想沉没于不息的浪潮中，又在新的传说里被再度唤起。,稀世品质时装
幽灵公主,,2888回声,12888碎片,冷夜高墙下，她幻想自己褪去了苦痛的躯壳，在月光中自由穿行——度日如年的病院里，那个曾被父亲像小公主一样宠着的幸福女孩儿现在何处？,稀世时装
幽灵提灯,,1068回声,3888碎片,小家伙们的陪伴，让女孩儿想起了父亲的呵护。,奇珍随身物品
幽灵娃娃,奇珍,788回声,2988碎片,罗比做了一个幽灵娃娃来陪伴他度过孤独的时光，罗比对它爱护备至。而若有人敢欺负罗比，幽灵娃娃的复仇也绝不迟到。,奇珍品质随身物品
诱人的宝箱,独特,258回声,968碎片,装满价值连城财宝的宝箱，如果是对于小人国的居民来说的话。,独特品质随身物品
御狐神乐,奇珍,788回声,2988碎片,“夏闻狐鸣，身有不吉”,奇珍品质随身物品
浴火绯花,,2888回声,12888碎片,耗尽生命之光，寻求救赎<br>点燃灰烬之息，浴火重生,稀世时装
鱼龙舞,奇珍,848回声,,“蛾儿雪柳黄金缕，笑语盈盈暗香去。众里寻他千百度，蓦然回首，那人却在，灯火阑珊处。”,奇珍品质随身物品
渔女 花束,,98回声,,花束动作，渔女专属,独特个性动作
渔女 笙歌,,98回声,,笙歌动作，渔女专属,个性动作
渔女 致意,,98回声,,致意动作，渔女专属，最佳演绎动作,个性动作
浴石商人,,1388回声,,她只需要这么小小的一颗浴石，从音乐精神中诞生的悲剧将会变成快乐的科学。,奇珍时装
玉兔祈福图,,230回声,,财到运到福兔到!(2023年春节家具),家具
余兴,奇珍,1068回声,3888碎片,酒宴过后，便是兑现约定的时候了。,奇珍品质随身物品
雨中曲,奇珍,1388回声,4888碎片,致敬那银幕的经典——在细雨中欢唱！在无声中欢歌~,奇珍品质时装
园丁 回响,,288回声,,回响动作,个性动作
园丁 祝福,,98回声,,祝福动作，园丁专属，最佳演绎动作,个性动作
园丁布偶,稀世,1888回声,8388碎片,为思念自己的女儿而制作的布偶，它甚至取代了厂长最钟爱的傀儡。,稀世品质随身物品
远古琥珀,独特,258回声,968碎片,勘探员在勘探工作中找到的远古琥珀，被琥珀包裹的蝴蝶还犹如活着一般,独特品质随身物品
远古之声,独特,258回声,968碎片,风铃随风而动，发出简单清脆的声响，这声音穿越时空，震慑着听者的心神。,独特品质随身物品
元日擂鼓,,950回声,,桃符换新日，擂鼓闹春时。（2024年春节家具）,奇珍家具
原石,独特,318回声,1188碎片,勇气是最有力的的尖锤，能凿开最坚硬的岩层，看到后面耀眼的“星光”。,独特品质时装
圆形花纹地毯,,230回声,,,家具
园艺手册,独特,258回声,968碎片,园丁将自己的手艺心得都写进了书里，除此之外还藏着许多她自己的秘密。,独特品质随身物品
月饼礼盒,奇珍,1068回声,,小玉的月饼礼盒。,奇珍品质随身物品
月光沙漏,奇珍,788回声,2988碎片,这些记录过时光的细沙从裂隙中散落时，也如时光般悄然无声。,奇珍品质随身物品
悦乐酷洛米,奇珍,1388回声,,第五人格 × 三丽鸥大明星 联动时装,奇珍品质时装
跃升的强音,,1888回声,,攀升的强音，将在新的乐章奏响。,稀世随身物品
月下绅士,,1388回声,,梦境中的月光温柔缱绻，却无人试图与他共舞,奇珍时装
运筹,,1388回声,,整个世界就是个堆满了宏伟构想的废料场，而我是极少数掌握点石成金术的人。,奇珍时装
筠心,稀世,2888回声,12888碎片,,稀世品质时装
ZQ·2020秋,,788回声,,奋挥皓羽，振彼八荒! 2020IVL秋季赛冠军ZQ战队随从。,奇珍随从
ZQ·2020夏,,888回声,,奋挥皓羽，振彼八荒! 2020IVL夏季赛冠军ZQ战队随从。,奇珍随从
杂技演员 捣蛋鬼,,98回声,,捣蛋鬼动作，杂技演员专属,个性动作
杂技演员 发球,,288回声,,ACE!GAME!,个性动作
杂技演员 闹龙,,98回声,,闹龙动作，杂技演员专属,个性动作
杂技演员 收礼物,,98回声,,收礼物动作，杂技演员专属,独特个性动作
再造者,奇珍,1388回声,,在兔子女士的帮助下，那些悲伤的抽泣永远被封锁在了金属躯壳里。现在终于有人爱她、赞扬她了，还轻声细语地称呼她为“杰作”。,奇珍品质时装
炸药桶,奇珍,788回声,2988碎片,一个塞满火药的炸药桶。,奇珍品质随身物品
长柄雨伞,独特,258回声,968碎片,它能挡住飞溅的液体，让大衣保持洁净。无论那些“雨水”冰冷还是温热。,独特品质随身物品
长条地毯1,,230回声,,,家具
长条地毯2,,230回声,,,家具
长条置物桌,,230回声,,,家具
长腿小姐,,1388回声,,她是位淑女，可千万别盯着那些“裙下风光”看太久,奇珍时装
长夏永不凋落,稀世,2888回声,12888碎片,没有芳艳不终于凋残或销毁<br>但是你的长夏永远不会凋落<br>也不会损失你这皎洁的红芳<br>或死神夸口你在它影里漂泊<br>当你在不朽的诗里与时同长<br>只要世间还有人呼吸，有眼能看见<br>这诗便将长存，赋予你生命无限,稀世品质时装
长夜,,2888回声,12888碎片,“无论快乐还是悲伤，存在还是死亡，你是否都愿意成为他的伴侣，抚慰他，教导他，刻入漫长的生命。直至长夜将尽，黎明到来。”,稀世时装
招风旗,稀世,2888回声,12888碎片,旌旗半卷破旧式，箫曲悠扬唤吉时。,稀世品质时装
照片钱包,独特,258回声,968碎片,这个钱包里没有钱，只有一张照片。,独特品质随身物品
折柳,,1888回声,8388碎片,飞鸟绕溪畔，甘霖落柳鬟。,稀世随身物品
谪仙,稀世,2888回声,12888碎片,谪落凡尘心未改，天马行空义自来。,稀世品质时装
珍珠,独特,258回声,968碎片,人类为了有价值的东西很容易就会互相伤害，哪怕这样东西本身毫无用处。,独特品质随身物品
征服,,2888回声,12888碎片,沉沦在机械技术的魅力里，他贪婪这一份机械给他带来的强大，也在重塑自己躯体的痛苦和掌握机械力量的快感中沉溺。,稀世时装
蒸馏器,,258回声,968碎片,不，纯度不够，还要……更高!,独特随身物品
蒸汽炉,,3888碎片,1068回声,最后的余热，迸发出最后一往无前的能量。,奇珍随身物品
蒸汽朋克,,1388回声,4888碎片,若不是被一个玩弹簧的家伙意外打断，铁帽团怪客与冒险团叛徒的会面绝不会提前走漏了风声。,时装
正义的砝码,奇珍,1388回声,,在梦想的天平上，正义并不永远比欲望更重。,奇珍品质时装
咫尺天涯,,1388回声,4888碎片,踏在幸福之上。,奇珍时装
咫尺微光,,828回声,,给予孤独症人士更多的理解与关爱，做“百分之一的星球”的守护者。,奇珍时装
纸船,独特,258回声,968碎片,寄托在纸船上的愿望，最后与星光一同沉入幽深的湖底。,独特品质随身物品
